drug.id,drug.name,target
BRD-DRUG-609674,CHM-1,
BRD-DRUG-609681,QS-11,ARFGAP1
BRD-DRUG-609781,ML239,
BRD-DRUG-61097,apicidin,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8
BRD-DRUG-616352,salermide,SIRT1;SIRT2
BRD-DRUG-616353,fumonisin B1,CERS1;CERS2;CERS3;CERS4;CERS5;CERS6
BRD-DRUG-616354,JQ-1,BRDT
BRD-DRUG-616355,BRD-K51490254,HDAC6;HDAC8
BRD-DRUG-616408,BRD-K85133207,HDAC1
BRD-DRUG-61674,Merck60,HDAC1;HDAC2
BRD-DRUG-61724,BRD-A94377914,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8
BRD-DRUG-61775,FGIN-1-27,TSPO
BRD-DRUG-622911,BMS-345541,IKBKB
BRD-DRUG-62602,vincristine,
BRD-DRUG-62690,cytarabine hydrochloride,
BRD-DRUG-628408,Repligen 136,HDAC3
BRD-DRUG-628601,nintedanib,FGFR1;FGFR2;FGFR3;FLT1;FLT3;KDR;PDGFRA;PDGFRB
BRD-DRUG-628603,crizotinib,ALK;MET
BRD-DRUG-628607,foretinib,KDR;MET
BRD-DRUG-628613,regorafenib,BRAF;KDR;KIT;RET
BRD-DRUG-628614,WZ8040,EGFR
BRD-DRUG-628620,OSI-930,KDR;KIT
BRD-DRUG-628622,MGCD-265,FLT1;FLT3;KDR;MET
BRD-DRUG-628639,lenvatinib,FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB
BRD-DRUG-632103,YK 4-279,DHX9;ERG;ETV1
BRD-DRUG-632104,CAY10618,NAMPT
BRD-DRUG-632119,KU 0060648,PRKDC
BRD-DRUG-632243,narciclasine,RHOA
BRD-DRUG-632873,MLN2238,PSMB5
BRD-DRUG-632907,ISOX,HDAC6
BRD-DRUG-63349,itraconazole,
BRD-DRUG-634309,lapatinib,EGFR;ERBB2
BRD-DRUG-634814,BRD-K29313308,HDAC3
BRD-DRUG-635576,UNC0321,EHMT2
BRD-DRUG-63578,erastin,SLC7A11;VDAC1;VDAC2
BRD-DRUG-635882,SGX-523,MET
BRD-DRUG-636425,erismodegib,
BRD-DRUG-636711,alisertib,AURKA;AURKB
BRD-DRUG-639390,AZD6482,PIK3CB;PIK3CD
BRD-DRUG-639450,ruxolitinib,JAK1;JAK2
BRD-DRUG-639531,bleomycin A2,
BRD-DRUG-639759,GDC-0941,PIK3CA;PIK3CB;PIK3CD;PIK3CG
BRD-DRUG-639962,SB-525334,TGFBR1
BRD-DRUG-640007,PHA-793887,CDK1;CDK2;CDK4;CDK5;CDK7;CDK9
BRD-DRUG-640011,quizartinib,FLT3
BRD-DRUG-640157,fingolimod,S1PR1
BRD-DRUG-640366,WZ4002,EGFR
BRD-DRUG-641721,BRD-K24690302,HDAC1
BRD-DRUG-648987,BRD-K70511574,PLK1
BRD-DRUG-649420,PLX-4032,BRAF
BRD-DRUG-649754,BRD-K48477130,
BRD-DRUG-649862,GSK461364,PLK1
BRD-DRUG-651642,BRD-K28456706,HNF4A
BRD-DRUG-652975,STF-31,NAMPT
BRD-DRUG-654278,ML334 diastereomer,KEAP1;NFE2L2
BRD-DRUG-657183,spautin-1,USP10;USP13
BRD-DRUG-659226,VAF-347,AHR
BRD-DRUG-659371,BRD-A02303741,DOT1L
BRD-DRUG-659682,ML320,GSK3B
BRD-DRUG-659993,tigecycline,
BRD-DRUG-660064,BRD-K34099515,
BRD-DRUG-660073,PF-543,SPHK1
BRD-DRUG-660075,PF-573228,PTK2
BRD-DRUG-660078,ceranib-2,ACER1;ACER2;ACER3;ASAH1;ASAH2;ASAH2B
BRD-DRUG-660079,FSC231,PICK1
BRD-DRUG-660080,968,GLS
BRD-DRUG-660081,GSK4112,NR1D1
BRD-DRUG-660082,etomoxir,CPT1A
BRD-DRUG-660083,HC-067047,TRPV4
BRD-DRUG-660084,IPR-456,PLAUR
BRD-DRUG-660085,KH-CB19,CLK1;CLK4
BRD-DRUG-660086,leptomycin B,XPO1
BRD-DRUG-660087,AZ-3146,TTK
BRD-DRUG-660119,VU0155056,PLD1;PLD2
BRD-DRUG-660135,BRD-K97651142,
BRD-DRUG-660136,vorapaxar,F2R
BRD-DRUG-660137,Ch-55,RARA;RARB;RARG
BRD-DRUG-660201,necrostatin-7,
BRD-DRUG-660202,PYR-41,UBA1
BRD-DRUG-660206,I-BET151,BRD2;BRD3;BRD4
BRD-DRUG-660207,lomeguatrib,MGMT
BRD-DRUG-660208,PF-184,IKBKB
BRD-DRUG-660227,JW-480,NCEH1
BRD-DRUG-660228,BMS-195614,RARA;RARB;RARG
BRD-DRUG-660230,BRD-K35604418,MCL1
BRD-DRUG-660238,SB-743921,KIF11
BRD-DRUG-660245,GSK525762A,BRD2;BRD3;BRD4
BRD-DRUG-660286,SMER-3,CUL1;SKP1
BRD-DRUG-660287,NVP-ADW742,IGF1R
BRD-DRUG-660288,clofarabine,
BRD-DRUG-660304,XL765,MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PRKDC
BRD-DRUG-660306,AZD1480,JAK1;JAK2
BRD-DRUG-660314,ML258,BCL2L10
BRD-DRUG-660317,SR1001,RORA;RORC
BRD-DRUG-660318,bardoxolone methyl,
BRD-DRUG-660319,elocalcitol,VDR
BRD-DRUG-660321,BMS-270394,RARG
BRD-DRUG-660322,fluvastatin,HMGCR
BRD-DRUG-660325,AZD4547,FGFR1;FGFR2;FGFR3
BRD-DRUG-660327,hyperforin,TRPC6
BRD-DRUG-660331,NVP-231,CERK
BRD-DRUG-660332,MK-0752,APH1A;NCSTN;PSEN1;PSENEN
BRD-DRUG-660341,semagacestat,APH1A;NCSTN;PSEN1;PSENEN
BRD-DRUG-660342,BRD-A05715709,IDH1
BRD-DRUG-660346,bosutinib,ABL1;SRC
BRD-DRUG-660358,temsirolimus,MTOR
BRD-DRUG-660363,abiraterone,CYP17A1
BRD-DRUG-660364,docetaxel,
BRD-DRUG-660391,nelarabine,POLA1
BRD-DRUG-660397,rigosertib,PIK3CA;PIK3CB;PLK1
BRD-DRUG-660409,AT7867,AKT1;AKT2;AKT3;RPS6KB2
BRD-DRUG-660410,PD318088,MAP2K1;MAP2K2
BRD-DRUG-660411,KU-60019,ATM
BRD-DRUG-660412,BIRB-796,MAPK11;MAPK11;MAPK14
BRD-DRUG-660413,KW-2449,AURKA;FLT3
BRD-DRUG-660414,RAF265,BRAF;KDR
BRD-DRUG-660421,silmitasertib,CSNK2A1;CSNK2A2
BRD-DRUG-660429,momelotinib,JAK1;JAK2
BRD-DRUG-660430,CAL-101,PIK3CD
BRD-DRUG-660431,LY-2157299,TGFBR1
BRD-DRUG-660432,WP1130,UCHL5;USP14;USP5;USP9X
BRD-DRUG-660433,OSI-027,MTOR
BRD-DRUG-660434,NVP-BSK805,JAK2
BRD-DRUG-660774,PIK-93,PIK3CG
BRD-DRUG-660777,AZD7762,CHEK1;CHEK2
BRD-DRUG-660778,birinapant,DIABLO;XIAP
BRD-DRUG-660779,KX2-391,SRC
BRD-DRUG-660796,3-Cl-AHPC,NR0B2
BRD-DRUG-660819,KHS101,TACC3
BRD-DRUG-660821,WAY-362450,NR1H4
BRD-DRUG-660840,cabozantinib,FLT3;KDR;MET;RET
BRD-DRUG-660890,BRD-M00053801,BCL2
BRD-DRUG-660935,KPT185,XPO1
BRD-DRUG-660985,pitstop2,CLTA;CLTB;CLTC;CLTCL1
BRD-DRUG-660993,R428,AXL
BRD-DRUG-660994,ibrutinib,BTK
BRD-DRUG-661032,sotrastaurin,PRKCB
BRD-DRUG-661033,A-804598,P2RX7
BRD-DRUG-665914,COL-3,
BRD-DRUG-666541,ABT-199,BCL2
BRD-DRUG-666716,ETP-46464,ATM;ATR
BRD-DRUG-666910,marinopyrrole A,MCL1
BRD-DRUG-667933,methylstat,KDM3A;KDM4A;KDM4B;KDM4C;KDM4D
BRD-DRUG-668495,BYL-719,PIK3CA
BRD-DRUG-668723,GSK2636771,PIK3CB
BRD-DRUG-676728,JW-74,
BRD-DRUG-677522,necrosulfonamide,
BRD-DRUG-679843,HBX-41108,USP7
BRD-DRUG-679844,palmostatin B,LYPLA1
BRD-DRUG-682993,JW-55,TNKS
BRD-DRUG-687395,BRD-K99006945,
BRD-DRUG-687406,tivantinib,MET
BRD-DRUG-687418,trametinib,MAP2K1;MAP2K2
BRD-DRUG-687577,RO4929097,APH1A;NCSTN;PSEN1;PSENEN
BRD-DRUG-687578,dinaciclib,CDK1;CDK2;CDK5;CDK9
BRD-DRUG-687579,MLN2480,ARAF;BRAF;RAF1
BRD-DRUG-687661,BRD-K51831558,EZH2
BRD-DRUG-687694,istradefylline,ADORA2A
BRD-DRUG-687714,MI-2,MEN1
BRD-DRUG-687715,BRD-K42260513,EZH2
BRD-DRUG-687720,alvocidib,CDK1;CDK2;CDK4;CDK6
BRD-DRUG-687721,CBB-1007,KDM1A
BRD-DRUG-687769,BRD-A86708339,
BRD-DRUG-687953,PF-3758309,PAK4
BRD-DRUG-687954,dabrafenib,BRAF
BRD-DRUG-688138,SZ4TA2,BCL2L1
BRD-DRUG-688229,AT13387,HSP90AA1
BRD-DRUG-688516,BCL-LZH-4,
BRD-DRUG-688799,skepinone-L,MAPK14
BRD-DRUG-688888,BRD-K34222889,
BRD-DRUG-688962,PF-4800567 hydrochloride,CSNK1D;CSNK1E
BRD-DRUG-688975,avicin D,
BRD-DRUG-705300,linsitinib,IGF1R;INSR
BRD-DRUG-710154,AT-406,XIAP
BRD-DRUG-96171,ML031,S1PR2
DRUG1,Erlotinib,EGFR
DRUG1001,AICA Ribonucleotide,AMPK agonist
DRUG1004,Vinblastine,Microtubule destabiliser
DRUG1005,Cisplatin,DNA crosslinker
DRUG1006,Cytarabine,Antimetabolite
DRUG1007,Docetaxel,Microtubule stabiliser
DRUG1008,Methotrexate,Antimetabolite
DRUG1009,Tretinoin,Retinoic acid
DRUG1010,Gefitinib,EGFR
DRUG1011,Navitoclax,BCL2;BCL-XL;BCL-W
DRUG1012,Vorinostat,HDAC inhibitor Class I;IIa;IIb;IV
DRUG1013,Nilotinib,ABL
DRUG1014,Refametinib,MEK1;MEK2
DRUG1015,CI-1040,MEK1;MEK2
DRUG1016,Temsirolimus,MTOR
DRUG1017,Olaparib,PARP1;PARP2
DRUG1018,Veliparib,PARP1;PARP2
DRUG1019,Bosutinib,SRC;ABL;TEC
DRUG1020,Lenalidomide,CRBN
DRUG1021,Axitinib,PDGFR;KIT;VEGFR
DRUG1022,AZD7762,CHEK1;CHEK2
DRUG1023,GW441756,NTRK1
DRUG1024,Lestaurtinib,FLT3;JAK2;NTRK1;NTRK2;NTRK3
DRUG1025,SB216763,GSK3A;GSK3B
DRUG1026,Tanespimycin,HSP90
DRUG1028,VX-702,p38
DRUG1029,Motesanib,VEGFR;RET;KIT;PDGFR
DRUG1030,KU-55933,ATM
DRUG1031,Elesclomol,HSP90
DRUG1032,Afatinib,ERBB2;EGFR
DRUG1033,Vismodegib,SMO
DRUG1036,PLX-4720,BRAF
DRUG1037,BX795,TBK1;PDK1 (PDPK1);IKK;AURKB;AURKC
DRUG1038,NU7441,DNAPK
DRUG1039,SL0101,RSK;AURKB;PIM1;PIM3
DRUG104,Bortezomib,Proteasome
DRUG1042,Doramapimod,p38;JNK2
DRUG1043,JNK Inhibitor VIII,JNK
DRUG1046,Wee1 Inhibitor,WEE1;CHEK1
DRUG1047,Nutlin-3a (-),MDM2
DRUG1048,Mirin,MRE11
DRUG1049,PD173074,FGFR1;FGFR2;FGFR3
DRUG1050,ZM447439,AURKA;AURKB
DRUG1052,RO-3306,CDK1
DRUG1053,MK-2206,AKT1;AKT2
DRUG1054,Palbociclib,CDK4;CDK6
DRUG1057,Dactolisib,PI3K (class 1);MTORC1;MTORC2
DRUG1058,Pictilisib,PI3K (class 1)
DRUG1059,AZD8055,MTORC1;MTORC2
DRUG106,XMD8-85,ERK5;BET
DRUG1060,PD0325901,MEK1;MEK2
DRUG1061,SB590885,BRAF
DRUG1062,Selumetinib,MEK1;MEK2
DRUG1066,AZD6482,PI3Kbeta
DRUG1067,CCT007093,PPM1D
DRUG1069,EHT-1864,RAC1;RAC2;RAC3
DRUG1072,Avagacestat,Amyloid beta20;Amyloid beta40
DRUG1091,BMS-536924,IGF1R;IR
DRUG11,Paclitaxel,Microtubule stabiliser
DRUG110,Seliciclib,CDK2;CDK7;CDK9
DRUG111,Salubrinal,EIF2A
DRUG1114,Cetuximab,EGFR
DRUG1129,PF-4708671,S6K1
DRUG1133,Serdemetan,MDM2
